id,txtName,txtCode,booPrefer,numNote,txtSpelling,numOrdering,numSymForms,numHalfStepsInRow,txtNumIntervalForm,txtAltNames
525,Zirconium,Zr,1,7,"b2,2,3,4,6,7",1733,0,4,1 1 2 1 4 2,
526,Niobium,Nb,1,7,"b2,2,b3,4,6,7",1861,0,5,1 1 1 2 4 2,
527,Molybdenum,Mo,1,7,"b2,2,3,b6,6,7",1677,0,4,1 1 2 4 1 2,
528,Technetium,Tc,1,7,"b2,b3,5,b6,6,7",1309,0,3,1 2 4 1 1 2,
529,Ruthenium,Ru,1,7,"b2,2,3,4,5,7",1745,0,4,1 1 2 1 2 4,
530,Rhodium,Rh,1,7,"b2,2,b3,b5,5,7",1841,0,5,1 1 1 3 1 4,
531,Palladium,Pd,1,7,"b2,2,b3,4,5,7",1873,0,5,1 1 1 2 2 4,
532,Silver,Ag,1,7,"b2,2,b3,3,5,7",1937,0,6,1 1 1 1 3 4,
533,Cadmium,Cd,1,7,"b2,2,b3,b5,6,7",1829,0,5,1 1 1 3 3 2,
534,Indium,In,1,7,"b2,2,3,4,b6,7",1737,0,4,1 1 2 1 3 3,
535,Tin,Sn,1,7,"b2,2,b3,4,b6,7",1865,0,5,1 1 1 2 3 3,
536,Antimony,Sb,1,7,"b2,2,3,b5,6,7",1701,0,4,1 1 2 2 3 2,
537,Tellurium,Te,1,8,"b2,2,b3,3,4,b5,7",2017,0,8,1 1 1 1 1 1 5,
538,Iodine,I,1,8,"b2,2,b3,3,4,6,7",1989,0,7,1 1 1 1 1 4 2,
539,Xenon,Xe,1,8,"b2,2,b3,3,b6,6,7",1933,0,6,1 1 1 1 4 1 2,
540,Cesium,Cs,1,8,"b2,b3,3,4,b5,5,7",1521,0,5,1 2 1 1 1 1 4,
541,Barium,Ba,1,8,"b2,2,3,4,b5,5,7",1777,0,4,1 1 2 1 1 1 4,
542,Lanthanum,La,1,8,"b2,2,b3,4,b5,5,7",1905,0,5,1 1 1 2 1 1 4,
543,Cerium,Ce,1,8,"b2,2,b3,3,b5,5,7",1969,0,6,1 1 1 1 2 1 4,
544,Praseodymium,Pr,1,8,"b2,2,b3,3,4,5,7",2001,0,7,1 1 1 1 1 2 4,
545,Neodymium,Nd,1,8,"b2,2,b3,3,4,b6,7",1993,0,7,1 1 1 1 1 3 3,
546,Prometheum,Pm,1,8,"b2,2,b3,3,5,6,7",1941,0,6,1 1 1 1 3 2 2,
547,Samarium,Sm,1,8,"b2,2,b3,b5,b6,6,7",1837,0,5,1 1 1 3 2 1 2,
548,Europium,Eu,1,8,"b2,2,4,5,b6,6,7",1629,0,4,1 1 3 2 1 1 2,
549,Gadolineum,Gd,1,8,"b2,3,b5,5,b6,6,7",1213,0,4,1 3 2 1 1 1 2,
550,Terbium,Tb,1,8,"b2,2,b3,4,b5,6,7",1893,0,5,1 1 1 2 1 3 2,
551,Dysprosium,Dy,1,8,"b2,2,b3,3,b5,6,7",1957,0,6,1 1 1 1 2 3 2,
552,Holmium,Ho,1,8,"b2,2,b3,3,5,b6,7",1945,0,6,1 1 1 1 3 1 3,
553,Erbium,Er,1,8,"b2,2,b3,b5,5,6,7",1845,0,5,1 1 1 3 1 2 2,
554,Thulium,Tm,1,8,"b2,2,3,4,b6,6,7",1741,0,4,1 1 2 1 3 1 2,
555,Ytterbium,Yb,1,8,"b2,2,b3,4,b6,6,7",1869,0,5,1 1 1 2 3 1 2,
556,Lutetium,Lu,1,8,"b2,b3,3,b5,5,b6,7",1465,0,3,1 2 1 2 1 1 3,
557,Halfnium,Hf,1,8,"b2,b3,3,4,5,b6,7",1497,0,3,1 2 1 1 2 1 3,
558,Tantalum,Ta,1,8,"b2,2,3,4,5,b6,7",1753,0,4,1 1 2 1 2 1 3,
559,Tungsten,W,1,8,"b2,b3,b5,5,b6,6,7",1341,0,4,1 2 3 1 1 1 2,
560,Rhenium,Re,1,8,"b2,2,b3,4,b5,b6,7",1897,0,5,1 1 1 2 1 2 3,
561,Osmium,Os,1,8,"b2,2,b3,3,b5,b6,7",1961,0,6,1 1 1 1 2 2 3,
562,Iridium,Ir,1,8,"b2,2,b3,4,5,6,7",1877,0,5,1 1 1 2 2 2 2,
563,Platinum,Pt,1,8,"b2,b3,3,4,5,6,7",1493,0,3,1 2 1 1 2 2 2,
564,Gold,Au,1,8,"b2,b3,4,b5,b6,6,7",1389,0,3,1 2 2 1 2 1 2,
565,Mercury,Hg,1,9,"b2,2,b3,3,4,b5,5,7",2033,0,9,1 1 1 1 1 1 1 4,
566,Thalium,Tl,1,9,"b2,2,b3,3,4,b5,6,7",2021,0,8,1 1 1 1 1 1 3 2,
567,Lead,Pb,1,9,"b2,2,b3,3,4,b6,6,7",1997,0,7,1 1 1 1 1 3 1 2,
568,Bismuth,Bi,1,9,"b2,b3,3,4,b5,5,b6,7",1529,0,6,1 2 1 1 1 1 1 3,
569,Polonium,Po,1,9,"b2,2,3,4,b5,5,b6,7",1785,0,5,1 1 2 1 1 1 1 3,
570,Astatine,At,1,9,"b2,2,b3,3,b5,5,b6,7",1977,0,6,1 1 1 1 2 1 1 3,
571,Radon,Rn,1,9,"b2,2,b3,3,4,5,b6,7",2009,0,7,1 1 1 1 1 2 1 3,
572,Francium,Fr,1,9,"b2,2,b3,3,4,b5,b6,7",2025,0,8,1 1 1 1 1 1 2 3,
573,Radium,Ra,1,9,"b2,2,b3,3,4,5,6,7",2005,0,7,1 1 1 1 1 2 2 2,
574,Actinium,Ac,1,9,"b2,b3,3,4,b5,5,b6,b7",1530,0,6,1 2 1 1 1 1 1 2,
575,Thorium,Th,1,9,"b2,b3,3,4,b5,5,6,7",1525,0,5,1 2 1 1 1 1 2 2,
576,Protactinium,Pa,1,10,"b2,2,b3,3,4,b5,5,b6,7",2041,0,10,1 1 1 1 1 1 1 1 3,
577,Uranium,U,1,10,"b2,2,b3,3,4,b5,5,6,7",2037,0,9,1 1 1 1 1 1 1 2 2,
578,Neptunium,Np,1,10,"b2,b3,3,4,b5,5,b6,6,b7",1534,0,8,1 2 1 1 1 1 1 1 1,
579,Berkelium,Bk,1,11,"b2,2,b3,3,4,b5,5,b6,6,7",2045,0,11,1 1 1 1 1 1 1 1 1 2,
580,Perfect Union,PU,1,1,,0,0,1,,
581,Minor-Third Tetracluster,-3Tet,0,0,"b3,3,4",448,0,3,,
