id,txtName,txtCode,booPrefer,numNote,txtSpelling,numOrdering,numSymForms,numHalfStepsInRow,txtNumIntervalForm,txtAltNames
396,Raga Matha Kokila,RMK,1,5,"2,5,6,b7",534,0,2,2 5 2 1,Matkokil
397,Raga Mohanangi,RMoh,0,5,"b3,3,5,6",404,0,2,3 1 3 2,
398,Raga Multani,RMult,0,5,"b3,b5,5,7",305,0,2,3 3 1 4,
399,Raga Mand,RMand,0,5,"3,4,5,6",212,0,2,4 1 2 2,Raga Nagasvaravali
400,Raga Neroshta,RNer,0,5,"2,3,6,7",645,0,2,2 2 5 2,
401,Raga Hindol,RHind,0,5,"3,b5,6,7",165,0,2,4 2 3 2,"Sunada Vinodini, Sanjh ka Hindol"
402,Raga Priyadarshini,RPri,1,5,"2,4,b6,7",585,0,2,2 3 3 3,
403,Purvaholika,Purv,1,5,"4,5,6,7",85,0,2,5 2 2 2,Raga Puruhutika
404,Raga Putrika,RPut,0,5,"b2,2,b6,6",1548,0,3,1 1 6 1,
405,Raga Rasranjani,RRasran,0,5,"2,4,6,7",581,0,2,2 3 4 2,
406,Madhukauns Pentatonic,MP,1,5,"b3,b5,5,b7",306,0,2,3 3 1 3,Raga Samudhra Priya
407,Varini,Var,0,5,"b3,5,b6,b7",282,0,2,3 4 1 2,Raga Shailaja
408,Raga Shri Kalyan,RSK,0,5,"2,b5,5,6",564,0,2,2 4 1 2,
409,Raga Shubravarni,RShu,0,5,"2,b5,6,7",549,0,2,2 4 3 2,
410,Hamsanada,Ham,0,5,"2,b5,5,7",561,0,2,2 4 1 4,Raga Vaijayanti
411,Raga Zilaf,RZil,0,5,"3,4,5,b6",216,0,2,4 1 2 1,
412,Raga Kashyapi,RKash,0,6,"b2,b3,5,b6,b7",1306,0,2,1 2 4 1 2,
413,Raga Kalakanthi,RKalaK,1,6,"b2,4,5,b6,6",1116,0,3,1 4 2 1 1,
414,Raga Nilangi,RNil,1,6,"2,b3,b5,b6,6",812,3,2,2 1 3 2 1,
415,Raga Nishadi,RNish,0,6,"2,b5,5,6,7",565,0,2,2 4 1 2 2,
416,Natural Seven Sus Four,n7sus4,1,4,"4,5,7",81,0,2,5 2 4,
417,Transformative,Trans,1,4,"b5,5,b7",50,0,2,6 1 3,
418,Chaos,Chaos,1,4,"b2,5,b6",1048,0,2,1 6 1,
419,French Six,F6,0,4,"3,b5,6",164,0,1,4 2 3,
420,Serotonin,Ser,1,4,"4,b6,7",73,0,2,5 3 3,
421,Dopamine,Dop,1,4,"b3,b5,7",289,0,2,3 3 5,
422,Noradrenaline,Nora,1,4,"2,b6,7",521,0,2,2 6 3,
423,Perfect Seventh,P7,1,3,"5,7",17,0,2,7 4,
424,Major Seven Omit Five,M7om5,1,3,"3,7",129,0,2,4 7,
425,Seven Omit Five,7om5,1,3,"3,b7",130,0,1,4 6,
426,Tritone Seven,T7,1,3,"b5,7",33,0,2,6 5,
427,Aug9,aug9,0,4,"b3,3,b7",386,0,2,3 1 6,
428,Dim Add Flat Six,oaddb6,0,4,"b3,b5,b6",296,0,1,3 3 2,
429,Sus Two Add Six,sus2add6,0,4,"2,5,6",532,0,1,2 5 2,
430,Sus Two Add Seven,sus2add7,0,4,"2,5,7",529,0,2,2 5 4,
431,Minor Major Chord,-M,1,4,"b3,3,5",400,0,2,3 1 3,
432,Mysterious,Myst,1,4,"b2,b3,b5",1312,0,2,1 2 3,
433,Murder,Murd,1,4,"b2,5,6",1044,0,2,1 6 2,
434,Feline,Fel,1,4,"4,6,7",69,0,2,5 4 2,
435,GermanMovie,GM,1,4,"5,b7,7",19,0,3,7 3 1,
436,Windy Morning,WM,1,3,"2,3",640,0,1,2 2,
437,Conception,Con,1,4,"2,3,b7",642,0,1,2 2 6,
438,Minor Major Triad,-MT,1,3,"b3,3",384,0,2,3 1,
439,Molokai,Molo,1,4,"b2,4,7",1089,0,3,1 4 6,
440,BigIsland,BigI,1,4,"b2,b5,7",1057,0,3,1 5 5,
441,Kauai,Kau,1,4,"b2,5,7",1041,0,3,1 6 4,
447,Lifetime,LT,1,5,"2,5,b6,7",537,0,2,2 5 1 3,
444,Psychic,Psy,1,5,"b5,5,6,b7",54,0,2,6 1 2 1,
442,Waterfall,WF,1,5,"b2,5,6,b7",1046,0,2,1 6 2 1,
445,Liquid,Liq,1,5,"b2,b3,3,6",1412,0,2,1 2 1 5,
446,Drama,Dram,1,5,"b2,b5,5,b7",1074,0,2,1 5 1 3,
448,Iron,Fe,1,5,"b2,b5,5,6",1076,0,2,1 5 1 2,
443,Tsunami,Tsu,1,5,"b5,5,6,7",53,0,2,6 1 2 2,
449,Bardo,Bardo,1,5,"b2,b3,3,5",1424,0,2,1 2 1 3,
450,Fiji,Fiji,1,5,"3,5,b6,b7",154,0,2,4 3 1 2,
451,Twilight,Twi,1,5,"b2,b3,5,6",1300,0,2,1 2 4 2,
452,Suave,Suave,1,5,"b3,3,5,b6",408,0,2,3 1 3 1,
453,Prana,Pra,1,6,"b2,b5,5,6,b7",1078,0,2,1 5 1 2 1,
454,Ethereal,Ethe,1,6,"b3,3,5,6,b7",406,0,2,3 1 3 2 1,
455,Perfection,Perf,1,5,"b2,5,6,7",1045,0,3,1 6 2 2,
456,Azure,Azure,1,5,"b2,b6,6,7",1037,0,3,1 7 1 2,
457,Coconut,Coc,1,5,"b2,b3,6,7",1285,0,3,1 2 6 2,
458,Tonga,Tong,1,5,"b2,b5,b6,7",1065,0,3,1 5 2 3,
459,Astral,Astral,1,6,"b2,b5,b6,6,7",1069,0,3,1 5 2 1 2,
460,Sumatra,Sum,1,5,"b2,3,6,7",1157,0,3,1 3 5 2,
461,Andaman,And,1,6,"b2,b3,3,6,7",1413,0,3,1 2 1 5 2,
462,Timor,Tim,1,5,"b2,b5,5,7",1073,0,3,1 5 1 4,
463,Lombok,Lom,1,6,"b2,b5,5,6,7",1077,0,3,1 5 1 2 2,
464,Borneo,Borneo,1,6,"b2,b3,b6,6,7",1293,0,3,1 2 5 1 2,
465,Putri,Put,1,5,"b2,3,b5,7",1185,0,3,1 3 2 5,
466,Halmahera,Hal,1,5,"b2,b3,b5,7",1313,0,3,1 2 3 5,
467,Galangal,Gal,1,6,"b2,b3,4,b5,7",1377,0,3,1 2 2 1 5,
468,Luzon,Luz,1,6,"b2,b3,3,b5,7",1441,0,3,1 2 1 2 5,
469,Palawan,Pal,1,5,"b2,4,6,7",1093,0,3,1 4 4 2,
470,Samar,Sam,1,5,"b2,b3,5,7",1297,0,3,1 2 4 4,
471,Bora Bora,Bora,1,5,"b2,4,b6,7",1097,0,3,1 4 3 3,
472,Nicobar,Nic,1,6,"b2,b3,3,b6,7",1417,0,3,1 2 1 4 3,
473,Skyros,Sky,1,6,"b2,4,b6,6,7",1101,0,3,1 4 3 1 2,
474,Paxos,Pax,1,7,"b2,b3,3,b6,6,7",1421,0,3,1 2 1 4 1 2,
475,Leros,Ler,1,5,"b2,3,5,7",1169,0,3,1 3 3 4,
476,Gomera,Gom,1,6,"b2,b3,3,5,7",1425,0,3,1 2 1 3 4,
477,Baltra,Baltra,1,7,"b2,b3,3,b5,5,7",1457,0,3,1 2 1 2 1 4,
478,Guguan,Gug,1,6,"b2,3,5,6,7",1173,0,3,1 3 3 2 2,
479,Guam,Guam,1,6,"b2,b3,b5,6,7",1317,0,3,1 2 3 3 2,
480,Tobago,Tob,1,6,"b2,b3,4,b6,7",1353,0,3,1 2 2 3 3,
